"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"li-4298884601","linkedin","https://www.linkedin.com/jobs/view/4298884601","","Associate 2","PwC Uzbekistan","Tashkent, Tashkent, Uzbekistan","2026-04-15","","","","","","",False,"","","","","","","https://uz.linkedin.com/company/pwc-uzbekistan","","","","","","","","","","","",""
"li-4402247252","linkedin","https://www.linkedin.com/jobs/view/4402247252","","Investment Officer","Asian Development Bank (ADB)","Tashkent, Tashkent, Uzbekistan","2026-04-15","","","","","","",False,"","","","","","","https://ph.linkedin.com/company/asian-development-bank","","","","","","","","","","","",""
"li-4402299100","linkedin","https://www.linkedin.com/jobs/view/4402299100","","Site Operations Manager","DataVolt","Tashkent, Tashkent, Uzbekistan","2026-04-15","","","","","","",False,"","","","","","","https://sa.linkedin.com/company/data-volt","","","","","","","","","","","",""
"li-4398472597","linkedin","https://www.linkedin.com/jobs/view/4398472597","","Junior System Analyst","Andersen Lab","Almalyk, Tashkent Region, Uzbekistan","2026-04-15","","","","","","",False,"","","","","","","https://pl.linkedin.com/company/andersen-softwaredev","","","","","","","","","","","",""
"li-4401742094","linkedin","https://www.linkedin.com/jobs/view/4401742094","","Sales Manager","M I R A L.L.C","Tashkent, Tashkent, Uzbekistan","2026-04-14","","","","","","",False,"","","","","","","https://www.linkedin.com/company/m-i-r-a-l-l-c","","","","","","","","","","","",""
"li-4400700116","linkedin","https://www.linkedin.com/jobs/view/4400700116","","Business Development Officer – Tashkent, Uzbekistan","University Consulting","Tashkent, Tashkent, Uzbekistan","2026-04-14","","","","","","",False,"","","","","","","https://au.linkedin.com/company/university-consulting","","","","","","","","","","","",""
"li-4401755971","linkedin","https://www.linkedin.com/jobs/view/4401755971","","Central Asia Finance and Administration Assistant","IUCN","Tashkent, Uzbekistan","2026-04-14","","","","","","",False,"","","","","","","https://ch.linkedin.com/company/iucn","","","","","","","","","","","",""
"li-4401794130","linkedin","https://www.linkedin.com/jobs/view/4401794130","","Business Analyst – Corporate Banking","D4 Insight","10 years of the Uzbek SSR, Tashkent Region, Uzbekistan","2026-04-14","","","","","","",False,"","","","","","","https://www.linkedin.com/company/d4insight","","","","","","","","","","","",""
"li-4399543159","linkedin","https://www.linkedin.com/jobs/view/4399543159","","Senior Administration and Accounting","It's Prodigy","Tashkent, Tashkent, Uzbekistan","2026-04-13","","","","","","",False,"","","","","","","https://it.linkedin.com/company/itsprodigy","","","","","","","","","","","",""
"li-4399537150","linkedin","https://www.linkedin.com/jobs/view/4399537150","","Риск-менеджер (МФО / FinTech)","AKS labs.ai","Tashkent, Tashkent, Uzbekistan","2026-04-13","","","","","","",False,"","","","","","","https://ge.linkedin.com/company/aks-labs-ai","","","","","","","","","","","",""
"li-4298813874","linkedin","https://www.linkedin.com/jobs/view/4298813874","","Associate","PwC Uzbekistan","Tashkent, Tashkent, Uzbekistan","2026-04-12","","","","","","",False,"","","","","","","https://uz.linkedin.com/company/pwc-uzbekistan","","","","","","","","","","","",""
"li-4400936911","linkedin","https://www.linkedin.com/jobs/view/4400936911","","Старший аналитик (Клиентские исследования) (Москва)","Frank RG","Ulugbek, Tashkent Region, Uzbekistan","2026-04-11","","","","","","",False,"","","","","","","https://ru.linkedin.com/company/frankrg","","","","","","","","","","","",""
"li-4400915396","linkedin","https://www.linkedin.com/jobs/view/4400915396","","Sales Agent for Business Class","Dyninno Group","Tashkent, Tashkent, Uzbekistan","2026-04-11","","","","","","",False,"","","","","","","https://www.linkedin.com/company/dyninno-group","","","","","","","","","","","",""
"li-4399329171","linkedin","https://www.linkedin.com/jobs/view/4399329171","","PPP Project Manager","Uzbekistan Airports","Tashkent, Uzbekistan","2026-04-11","","","","","","",False,"","","","","","","https://uz.linkedin.com/company/uzbekistan-airports","","","","","","","","","","","",""
"li-4377233819","linkedin","https://www.linkedin.com/jobs/view/4377233819","","Intern/Staff in Strategy and Execution","EY","Tashkent, Tashkent, Uzbekistan","2026-04-10","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/ernstandyoung","","","","","","","","","","","",""
"li-4394674764","linkedin","https://www.linkedin.com/jobs/view/4394674764","","Marketing Assistant","Abbott","Tashkent, Tashkent, Uzbekistan","2026-04-10","","","","","","",False,"","","","","","","https://www.linkedin.com/company/abbott-","","","","","","","","","","","",""
"li-4360764251","linkedin","https://www.linkedin.com/jobs/view/4360764251","","Senior Manager - Administration","Larsen & Toubro","Tashkent, Tashkent, Uzbekistan","2026-04-09","","","","","","",False,"","","","","","","https://in.linkedin.com/company/larsen-&-toubro-limited","","","","","","","","","","","",""
"li-4368231597","linkedin","https://www.linkedin.com/jobs/view/4368231597","","Manager","PwC Uzbekistan","Tashkent, Tashkent, Uzbekistan","2026-04-09","","","","","","",False,"","","","","","","https://uz.linkedin.com/company/pwc-uzbekistan","","","","","","","","","","","",""
"li-4385078927","linkedin","https://www.linkedin.com/jobs/view/4385078927","","Senior Consultant - EY-Parthenon (Strategy and Transactions)","EY-Parthenon","Tashkent, Tashkent, Uzbekistan","2026-04-09","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/ey-parthenon","","","","","","","","","","","",""
"li-4385043689","linkedin","https://www.linkedin.com/jobs/view/4385043689","","Senior Business Consultant (Customer&Finance)","EY","Tashkent, Tashkent, Uzbekistan","2026-04-09","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/ernstandyoung","","","","","","","","","","","",""
"li-4385035707","linkedin","https://www.linkedin.com/jobs/view/4385035707","","Manager (M&A)","EY","Tashkent, Tashkent, Uzbekistan","2026-04-09","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/ernstandyoung","","","","","","","","","","","",""
"li-4400326048","linkedin","https://www.linkedin.com/jobs/view/4400326048","","Associate Investment Office, PPP Transaction Advisory - req36313","IFC - International Finance Corporation","Tashkent, Tashkent, Uzbekistan","2026-04-09","","","","","","",False,"","","","","","","https://www.linkedin.com/company/ifclinkedin","","","","","","","","","","","",""
"li-4377231936","linkedin","https://www.linkedin.com/jobs/view/4377231936","","Staff/Advanced Staff in VME (Valuation, Modeling and Economics)","EY","Tashkent, Tashkent, Uzbekistan","2026-04-09","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/ernstandyoung","","","","","","","","","","","",""
"li-4385051225","linkedin","https://www.linkedin.com/jobs/view/4385051225","","Senior Consultant in Audit","EY","Tashkent, Tashkent, Uzbekistan","2026-04-09","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/ernstandyoung","","","","","","","","","","","",""
"li-4385032952","linkedin","https://www.linkedin.com/jobs/view/4385032952","","Senior Consultant (VME)","EY","Tashkent, Tashkent, Uzbekistan","2026-04-09","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/ernstandyoung","","","","","","","","","","","",""
"li-4396326031","linkedin","https://www.linkedin.com/jobs/view/4396326031","","Kitchen Coordinator (Uzbek national)","Marriott International","Tashkent, Tashkent, Uzbekistan","2026-04-09","","","","","","",False,"","","","","","","https://www.linkedin.com/company/marriott-international","","","","","","","","","","","",""
"li-4392258669","linkedin","https://www.linkedin.com/jobs/view/4392258669","","Главный бухгалтер","ÇELİKER HOLDİNG","Tashkent, Tashkent, Uzbekistan","2026-04-14","","","","","","",False,"","","","","","","https://uz.linkedin.com/company/%C3%A7eli%CC%87kers-group-i%CC%87n%C5%9Faat-i%CC%87thalat-ve-i%CC%87hracat-a-%C5%9F","","","","","","","","","","","",""
"li-4400519103","linkedin","https://www.linkedin.com/jobs/view/4400519103","","Low Carbon Analyst","Juru","Tashkent, Tashkent, Uzbekistan","2026-04-10","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/juru1","","","","","","","","","","","",""
"li-4370294781","linkedin","https://www.linkedin.com/jobs/view/4370294781","","Intern/ Trainee","PwC Uzbekistan","Tashkent, Tashkent, Uzbekistan","2026-04-15","","","","","","",False,"","","","","","","https://uz.linkedin.com/company/pwc-uzbekistan","","","","","","","","","","","",""
"li-4360441338","linkedin","https://www.linkedin.com/jobs/view/4360441338","","Specialist","PwC Uzbekistan","Tashkent, Tashkent, Uzbekistan","2026-04-14","","","","","","",False,"","","","","","","https://uz.linkedin.com/company/pwc-uzbekistan","","","","","","","","","","","",""
